state,state_name,class_year,projected_high_school_graduates,source_status,change_from_2026,pct_change_from_2026,share_of_national_pool
AK,Alaska,2026,8879,Projection,0,0.0,0.0023079644398279957
AK,Alaska,2030,8878,Projection,-1,-0.00011262529564137758,0.0024249814056533916
AK,Alaska,2035,8334,Projection,-545,-0.06138078612456355,0.0022740891364355247
AK,Alaska,2041,7170,Projection,-1709,-0.19247663025115436,0.0020944023373179557
AL,Alabama,2026,55546,Projection,0,0.0,0.01443835936194232
AL,Alabama,2030,52926,Projection,-2620,-0.047168112915421445,0.014456472840235572
AL,Alabama,2035,55235,Projection,-311,-0.005598963021639758,0.015071911861173052
AL,Alabama,2041,54262,Projection,-1284,-0.023115975947863077,0.0158502733092813
AR,Arkansas,2026,35867,Projection,0,0.0,0.009323095006567262
AR,Arkansas,2030,34255,Projection,-1612,-0.0449438202247191,0.00935658234407039
AR,Arkansas,2035,34497,Projection,-1370,-0.03819667103465585,0.009413157300169943
AR,Arkansas,2041,32330,Projection,-3537,-0.09861432514567714,0.009443797428938564
AZ,Arizona,2026,85942,Projection,0,0.0,0.022339349013143103
AZ,Arizona,2030,84186,Projection,-1756,-0.02043238463149566,0.022994985877037216
AZ,Arizona,2035,85262,Projection,-680,-0.007912312955248857,0.02326534532646577
AZ,Arizona,2041,81428,Projection,-4514,-0.052523795117637495,0.02378563368523382
CA,California,2026,466446,Projection,0,0.0,0.12124572374141336
CA,California,2030,435481,Projection,-30965,-0.06638496203204658,0.11894946243696154
CA,California,2035,402356,Projection,-64090,-0.13740068518113568,0.10979042579549461
CA,California,2041,339022,Projection,-127424,-0.2731806039713064,0.09903046990267894
CO,Colorado,2026,65391,Projection,0,0.0,0.016997421183105356
CO,Colorado,2030,60300,Projection,-5091,-0.07785475065375969,0.01647064414968456
CO,Colorado,2035,59557,Projection,-5834,-0.08921717055863954,0.016251251103754565
CO,Colorado,2041,56457,Projection,-8934,-0.13662430609716936,0.016491446688697325
CT,Connecticut,2026,44448,Projection,0,0.0,0.011553598763540349
CT,Connecticut,2030,42528,Projection,-1920,-0.043196544276457916,0.011616311018205388
CT,Connecticut,2035,43091,Projection,-1357,-0.0305300575953924,0.011758192341989826
CT,Connecticut,2041,42405,Projection,-2043,-0.04596382289416845,0.012386768635141968
DC,District of Columbia,2026,7252,Projection,0,0.0,0.0018850499062543784
DC,District of Columbia,2030,8699,Projection,1447,0.1995311638168782,0.0023760884487248088
DC,District of Columbia,2035,9072,Projection,1820,0.2509652509652509,0.0024754663601803555
DC,District of Columbia,2041,7529,Projection,277,0.038196359624931064,0.0021992685073454516
DE,Delaware,2026,11807,Projection,0,0.0,0.0030690546391540876
DE,Delaware,2030,12106,Projection,299,0.025323960362496845,0.003306693500432525
DE,Delaware,2035,12597,Projection,790,0.06690946048954016,0.0034373291158721272
DE,Delaware,2041,12087,Projection,280,0.02371474548996355,0.003530689128474495
FL,Florida,2026,238645,Projection,0,0.0,0.06203223040238225
FL,Florida,2030,234121,Projection,-4524,-0.01895702822183576,0.06394898306746764
FL,Florida,2035,251771,Projection,13126,0.0550021999203838,0.0687004674789427
FL,Florida,2041,247409,Projection,8764,0.03672400427413103,0.07226973331569012
GA,Georgia,2026,132754,Projection,0,0.0,0.03450743453597542
GA,Georgia,2030,127882,Projection,-4872,-0.03669945915000683,0.034930330267826874
GA,Georgia,2035,131414,Projection,-1340,-0.010093857812193963,0.035858789269922975
GA,Georgia,2041,126851,Projection,-5903,-0.044465703481627705,0.03705397920378243
HI,Hawaii,2026,13929,Projection,0,0.0,0.003620637085523612
HI,Hawaii,2030,12650,Projection,-1279,-0.09182281570823458,0.0034552843862936927
HI,Hawaii,2035,11450,Projection,-2479,-0.17797401105607003,0.0031243485255803647
HI,Hawaii,2041,9582,Projection,-4347,-0.3120827051475339,0.0027989627888675944
IA,Iowa,2026,39893,Projection,0,0.0,0.010369594030640639
IA,Iowa,2030,38192,Projection,-1701,-0.04263905948412006,0.010431954251488436
IA,Iowa,2035,38769,Projection,-1124,-0.028175369112375614,0.01057885309940831
IA,Iowa,2041,36299,Projection,-3594,-0.0900909934073647,0.010603167425704947
ID,Idaho,2026,24058,Projection,0,0.0,0.006253520497058443
ID,Idaho,2030,24257,Projection,199,0.008271676781112403,0.006625678526349889
ID,Idaho,2035,25509,Projection,1451,0.06031257793665312,0.006960611924806072
ID,Idaho,2041,25907,Projection,1849,0.0768559314988777,0.007567598515048296
IL,Illinois,2026,138905,Projection,0,0.0,0.03610629581195041
IL,Illinois,2030,124210,Projection,-14695,-0.10579172815953353,0.033927341788263995
IL,Illinois,2035,119005,Projection,-19900,-0.14326338144775208,0.032472759501021076
IL,Illinois,2041,99067,Projection,-39838,-0.2868003311615852,0.02893809712009455
IN,Indiana,2026,77246,Projection,0,0.0,0.020078952710772986
IN,Indiana,2030,72817,Projection,-4429,-0.05733630220335029,0.01988960024954528
IN,Indiana,2035,72575,Projection,-4671,-0.06046915050617507,0.01980345801257598
IN,Indiana,2041,69494,Projection,-7752,-0.10035471092354298,0.02029963682420837
KS,Kansas,2026,37673,Projection,0,0.0,0.0097925379368893
KS,Kansas,2030,36660,Projection,-1013,-0.026889284102672995,0.010013496094982354
KS,Kansas,2035,34967,Projection,-2706,-0.07182863058423805,0.009541405667595513
KS,Kansas,2041,32554,Projection,-5119,-0.13587980781992404,0.00950922924533455
KY,Kentucky,2026,50499,Projection,0,0.0,0.013126466521778799
KY,Kentucky,2030,44440,Projection,-6059,-0.11998257391235467,0.012138564278805669
KY,Kentucky,2035,48080,Projection,-2419,-0.047901938652250564,0.013119535118768903
KY,Kentucky,2041,45762,Projection,-4737,-0.09380383769975642,0.013367369562112173
LA,Louisiana,2026,53296,Projection,0,0.0,0.013853505212870014
LA,Louisiana,2030,50745,Projection,-2551,-0.047864755328730135,0.013860743571737031
LA,Louisiana,2035,52289,Projection,-1007,-0.018894476133293314,0.014268040179394908
LA,Louisiana,2041,47061,Projection,-6235,-0.11698814169918947,0.013746815675944256
MA,Massachusetts,2026,77056,Projection,0,0.0,0.020029565027073547
MA,Massachusetts,2030,72708,Projection,-4348,-0.056426495016611344,0.019859827443370892
MA,Massachusetts,2035,73434,Projection,-3622,-0.047004775747508276,0.020037852369211222
MA,Massachusetts,2041,69464,Projection,-7592,-0.09852574750830567,0.020290873634512478
MD,Maryland,2026,74094,Projection,0,0.0,0.01925963703171703
MD,Maryland,2030,68766,Projection,-5328,-0.07190865657138235,0.01878308981089898
MD,Maryland,2035,68981,Projection,-5113,-0.06900693713391093,0.018822767305070667
MD,Maryland,2041,62752,Projection,-11342,-0.15307582260371955,0.01833025599321846
ME,Maine,2026,13698,Projection,0,0.0,0.0035605920595521887
ME,Maine,2030,12938,Projection,-760,-0.05548255219740106,0.0035339501493966636
ME,Maine,2035,13446,Projection,-252,-0.018396846254927768,0.003668994783838741
ME,Maine,2041,12718,Projection,-980,-0.07154329099138557,0.0037150082184114032
MI,Michigan,2026,100573,Projection,0,0.0,0.026142460593177274
MI,Michigan,2030,95746,Projection,-4827,-0.04799498871466501,0.026152542201587026
MI,Michigan,2035,96183,Projection,-4390,-0.043649886152347106,0.026245346221475653
MI,Michigan,2041,85131,Projection,-15442,-0.15354021457051092,0.02486730340002997
MN,Minnesota,2026,67286,Projection,0,0.0,0.01748999834421292
MN,Minnesota,2030,64403,Projection,-2883,-0.04284695181761433,0.01759135812889112
MN,Minnesota,2035,65154,Projection,-2132,-0.03168564040067767,0.017778498151586296
MN,Minnesota,2041,58295,Projection,-8991,-0.13362363641767971,0.01702833811073225
MO,Missouri,2026,68422,Projection,0,0.0,0.017785284705700094
MO,Missouri,2030,64138,Projection,-4284,-0.06261144076466629,0.017518974701035958
MO,Missouri,2035,64283,Projection,-4139,-0.06049223933822456,0.0175408293685487
MO,Missouri,2041,58880,Projection,-9542,-0.139458069042121,0.017199220309802123
MS,Mississippi,2026,33708,Projection,0,0.0,0.008761894958635216
MS,Mississippi,2030,29644,Projection,-4064,-0.120564851073929,0.008097110699390531
MS,Mississippi,2035,29445,Projection,-4263,-0.12646849412602346,0.008034623784778502
MS,Mississippi,2041,27003,Projection,-6705,-0.19891420434318263,0.007887747045271514
MT,Montana,2026,10737,Projection,0,0.0,0.0027909239993730364
MT,Montana,2030,10692,Projection,-45,-0.00419111483654655,0.002920466455197799
MT,Montana,2035,11218,Projection,481,0.04479836080841948,0.003061042948468169
MT,Montana,2041,10520,Projection,-217,-0.020210487100679853,0.003072958520025787
NC,North Carolina,2026,121551,Projection,0,0.0,0.031595380743950074
NC,North Carolina,2030,118193,Projection,-3358,-0.027626263872777668,0.03228382825843561
NC,North Carolina,2035,123253,Projection,1702,0.014002352921818728,0.033631906447454736
NC,North Carolina,2041,122719,Projection,1168,0.009609135260096657,0.03584699587633504
ND,North Dakota,2026,8637,Projection,0,0.0,0.002245060126905552
ND,North Dakota,2030,9291,Projection,654,0.075720736366794,0.0025377902951031384
ND,North Dakota,2035,9771,Projection,1134,0.13129558874609248,0.002666201698117532
ND,North Dakota,2041,8690,Projection,53,0.0061363899502142605,0.0025384039485764343
NE,Nebraska,2026,25492,Projection,0,0.0,0.006626267541400526
NE,Nebraska,2030,24909,Projection,-583,-0.02286991997489407,0.006803769073374671
NE,Nebraska,2035,25009,Projection,-483,-0.018947120665306794,0.006824177491374615
NE,Nebraska,2041,23263,Projection,-2229,-0.08743919661070143,0.006795269396517099
NH,New Hampshire,2026,15213,Projection,0,0.0,0.003954393853260874
NH,New Hampshire,2030,14146,Projection,-1067,-0.07013738250180768,0.003863909322411903
NH,New Hampshire,2035,14242,Projection,-971,-0.06382699007427861,0.0038861984018616204
NH,New Hampshire,2041,13964,Projection,-1249,-0.08210083481233155,0.0040789726971140776
NJ,New Jersey,2026,109903,Projection,0,0.0,0.028567655797997096
NJ,New Jersey,2030,108465,Projection,-1438,-0.013084265215690172,0.02962667359362414
NJ,New Jersey,2035,108372,Projection,-1531,-0.013930465956343285,0.02957134483966771
NJ,New Jersey,2041,107973,Projection,-1930,-0.01756094010172604,0.0315395960344814
NM,New Mexico,2026,22162,Projection,0,0.0,0.005760683400773515
NM,New Mexico,2030,20634,Projection,-1528,-0.06894684595253131,0.005636074152314945
NM,New Mexico,2035,19426,Projection,-2736,-0.1234545618626478,0.005300750607678966
NM,New Mexico,2041,17104,Projection,-5058,-0.2282284992329212,0.0049961865519506715
NV,Nevada,2026,34639,Projection,0,0.0,0.009003894608762468
NV,Nevada,2030,33321,Projection,-1318,-0.038049597274748104,0.009101464904007282
NV,Nevada,2035,34299,Projection,-340,-0.009815525852362894,0.009359129264531085
NV,Nevada,2041,30156,Projection,-4483,-0.12942059528277372,0.008808758282309662
NY,New York,2026,200655,Projection,0,0.0,0.0521572930142681
NY,New York,2030,183242,Projection,-17413,-0.08678079290324192,0.05005163806428686
NY,New York,2035,171389,Projection,-29266,-0.14585233360743566,0.04676672222276796
NY,New York,2041,150533,Projection,-50122,-0.24979193142458445,0.043971641149718806
OH,Ohio,2026,141163,Projection,0,0.0,0.03669322944244165
OH,Ohio,2030,134175,Projection,-6988,-0.04950305674999822,0.03664923182062895
OH,Ohio,2035,134895,Projection,-6268,-0.04440257007856163,0.03680864579547278
OH,Ohio,2041,124461,Projection,-16702,-0.11831712275879658,0.036355845091343104
OK,Oklahoma,2026,50769,Projection,0,0.0,0.013196649019667476
OK,Oklahoma,2030,49595,Projection,-1174,-0.023124347534912992,0.013546626809346695
OK,Oklahoma,2035,48457,Projection,-2312,-0.04553960093758003,0.013222406681576222
OK,Oklahoma,2041,46250,Projection,-4519,-0.08901101065610906,0.013509917447832002
OR,Oregon,2026,42839,Projection,0,0.0,0.01113536306315931
OR,Oregon,2030,39182,Projection,-3657,-0.08536613833189388,0.010702367812154898
OR,Oregon,2035,38349,Projection,-4490,-0.10481103667219127,0.010464248175325888
OR,Oregon,2041,33272,Projection,-9567,-0.22332454072223906,0.009718961585389542
PA,Pennsylvania,2026,139630,Projection,0,0.0,0.03629474881554038
PA,Pennsylvania,2030,129575,Projection,-10055,-0.07201174532693544,0.035392764771067606
PA,Pennsylvania,2035,127318,Projection,-12312,-0.08817589343264343,0.034741118391252476
PA,Pennsylvania,2041,116928,Projection,-22702,-0.16258683663969065,0.034155408158704874
RI,Rhode Island,2026,11199,Projection,0,0.0,0.002911014051315883
RI,Rhode Island,2030,10366,Projection,-833,-0.07438164121796587,0.0028314211816854087
RI,Rhode Island,2035,10341,Projection,-858,-0.07661398339137426,0.002821736952229393
RI,Rhode Island,2041,9492,Projection,-1707,-0.15242432360032143,0.002772673219779921
SC,South Carolina,2026,58790,Projection,0,0.0,0.015281589077315898
SC,South Carolina,2030,57870,Projection,-920,-0.015648919884334034,0.01580690177350324
SC,South Carolina,2035,60992,Projection,2202,0.03745534954924312,0.01664281792770285
SC,South Carolina,2041,61735,Projection,2945,0.050093553325395446,0.018033183862527755
SD,South Dakota,2026,10613,Projection,0,0.0,0.0027586920373797183
SD,South Dakota,2030,10677,Projection,64,0.006030340148873936,0.0029163692800361863
SD,South Dakota,2035,11196,Projection,583,0.05493262979364921,0.0030550398333971844
SD,South Dakota,2041,10357,Projection,-256,-0.024121360595496077,0.003025345189344779
TN,Tennessee,2026,74939,Projection,0,0.0,0.01947928225659085
TN,Tennessee,2030,74906,Projection,-33,-0.0004403581579685012,0.020460200177052596
TN,Tennessee,2035,79662,Projection,4723,0.06302459333591326,0.02173727967203345
TN,Tennessee,2041,81459,Projection,6520,0.08700409666528786,0.023794688981252907
TX,Texas,2026,410890,Projection,0,0.0,0.1068047650276974
TX,Texas,2030,399411,Projection,-11479,-0.027936917423154628,0.10909712189833597
TX,Texas,2035,410286,Projection,-604,-0.0014699797999464526,0.11195427590971752
TX,Texas,2041,414861,Projection,3971,0.009664387062230828,0.12118352134756825
UT,Utah,2026,50201,Projection,0,0.0,0.01304900583892389
UT,Utah,2030,48443,Projection,-1758,-0.03501922272464697,0.013231963756934811
UT,Utah,2035,48337,Projection,-1864,-0.03713073444752102,0.013189662417552673
UT,Utah,2041,44908,Projection,-5293,-0.10543614669030499,0.013117910762102477
VA,Virginia,2026,102981,Projection,0,0.0,0.026768384500273322
VA,Virginia,2030,100188,Projection,-2793,-0.02712150785096279,0.027365852339446047
VA,Virginia,2035,102267,Projection,-714,-0.00693331779648676,0.02790548040746962
VA,Virginia,2041,93984,Projection,-8997,-0.0873656305532089,0.02745332067928741
VT,Vermont,2026,5851,Projection,0,0.0,0.0015208807227653567
VT,Vermont,2030,5518,Projection,-333,-0.056913348145616105,0.0015072141694520628
VT,Vermont,2035,5504,Projection,-347,-0.05930610152110749,0.0015018702432134784
VT,Vermont,2041,4921,Projection,-930,-0.15894718851478384,0.0014374552164493249
WA,Washington,2026,83554,Projection,0,0.0,0.021718623809594363
WA,Washington,2030,79259,Projection,-4295,-0.05140388251908945,0.02164920040895271
WA,Washington,2035,80777,Projection,-2777,-0.033235991095578954,0.0220415284585856
WA,Washington,2041,73935,Projection,-9619,-0.11512315388850325,0.021596881005523438
WI,Wisconsin,2026,67781,Projection,0,0.0,0.017618666257008826
WI,Wisconsin,2030,63368,Projection,-4413,-0.06510674082707546,0.01730865304273982
WI,Wisconsin,2035,62090,Projection,-5691,-0.08396158215429106,0.01694242794351833
WI,Wisconsin,2041,56910,Projection,-10871,-0.16038417845708974,0.01662377085310528
WV,West Virginia,2026,17352,Projection,0,0.0,0.004510395197645611
WV,West Virginia,2030,16084,Projection,-1268,-0.07307514983863528,0.004393264353292312
WV,West Virginia,2035,15092,Projection,-2260,-0.13024435223605346,0.004118136938695097
WV,West Virginia,2041,13388,Projection,-3964,-0.22844628861226368,0.003910719454952969
WY,Wyoming,2026,6259,Projection,0,0.0,0.001626934275130468
WY,Wyoming,2030,5873,Projection,-386,-0.06167119348138683,0.0016041806482769057
WY,Wyoming,2035,5466,Projection,-793,-0.12669755552005113,0.0014915012262726878
WY,Wyoming,2041,4709,Projection,-1550,-0.24764339351334075,0.001375528675931695
